token,pos
the,DET
U.S.,PROPN
Would,AUX
drop,VERB
due,ADP
to,ADP
active,ADJ
sales,NOUN
drives,NOUN
"
  ",SPACE
by,ADP
other,ADJ
suppliers,NOUN
",",PUNCT
"""",PUNCT
the,DET
official,NOUN
",",PUNCT
who,PRON
declined,VERB
to,PART
be,AUX
named,VERB
",",PUNCT
"
  ",SPACE
said,VERB
.,PUNCT
"""",PUNCT
Japan,PROPN
is,AUX
the,DET
largest,ADJ
customer,NOUN
for,ADP
U.S.,PROPN
Farm,PROPN
products,NOUN
and,CCONJ
"
  ",SPACE
it,PRON
is,AUX
not,PART
reasonable,ADJ
for,ADP
the,DET
U.S.,PROPN
To,PART
demand,VERB
Japan,PROPN
liberalise,VERB
"
  ",SPACE
its,PRON
farm,NOUN
import,NOUN
market,NOUN
",",PUNCT
"""",PUNCT
he,PRON
said,VERB
.,PUNCT
"
      ",SPACE
Agriculture,PROPN
Minister,PROPN
Mutsuki,PROPN
Kato,PROPN
has,AUX
said,VERB
if,SCONJ
the,DET
U.S.,PROPN
"
  ",SPACE
Insists,VERB
Japan,PROPN
open,VERB
its,PRON
protected,VERB
rice,NOUN
market,NOUN
it,PRON
will,AUX
also,ADV
open,VERB
"
  ",SPACE
its,PRON
wheat,NOUN
market,NOUN
",",PUNCT
where,SCONJ
volume,NOUN
and,CCONJ
origin,NOUN
are,AUX
regulated,VERB
to,ADP
"
  ",SPACE
protect,VERB
local,ADJ
farmers,NOUN
.,PUNCT
"
      ",SPACE
Australia,PROPN
and,CCONJ
Canada,PROPN
could,AUX
then,ADV
increase,VERB
their,PRON
wheat,NOUN
"
  ",SPACE
exports,NOUN
as,SCONJ
they,PRON
are,AUX
more,ADV
competitive,ADJ
than,ADP
the,DET
U.S.,PROPN
",",PUNCT
He,PRON
said,VERB
.,PUNCT
"
  ",SPACE
End,NOUN
-,PUNCT
users,NOUN
would,AUX
also,ADV
buy,VERB
other,ADJ
origins,NOUN
",",PUNCT
grain,NOUN
traders,NOUN
said,VERB
.,PUNCT
"
      ",SPACE
U.S.,PROPN
Agriculture,PROPN
Secretary,PROPN
Richard,PROPN
Lyng,PROPN
",",PUNCT
who,PRON
is,AUX
due,ADJ
to,ADP
"
  ",SPACE
visit,VERB
Japan,PROPN
for,ADP
talks,NOUN
between,ADP
April,PROPN
16,NUM
-,SYM
27,NUM
",",PUNCT
has,AUX
said,VERB
he,PRON
will,AUX
ask,VERB
"
  ",SPACE
Japan,PROPN
to,PART
offer,VERB
a,DET
share,NOUN
of,ADP
its,PRON
rice,NOUN
market,NOUN
to,ADP
U.S.,PROPN
Suppliers,PROPN
and,CCONJ
"
  ",SPACE
remove,NOUN
quotas,NOUN
on,ADP
U.S.,PROPN
Beef,PROPN
and,CCONJ
citrus,NOUN
imports,NOUN
.,PUNCT
"
      ",SPACE
Other,ADJ
countries,NOUN
are,AUX
already,ADV
cutting,VERB
into,ADP
the,DET
U.S.,PROPN
Market,PROPN
"
  ",SPACE
share,NOUN
here,ADV
.,PUNCT
Australia,PROPN
",",PUNCT
the,DET
largest,ADJ
beef,NOUN
supplier,NOUN
to,ADP
Japan,PROPN
",",PUNCT
has,AUX
"
  ",SPACE
been,AUX
trying,VERB
to,PART
boost,VERB
exports,NOUN
prior,ADV
to,ADP
the,DET
expiry,NOUN
of,ADP
a,DET
four,NUM
-,PUNCT
year,NOUN
"
  ",SPACE
beef,NOUN
accord,NOUN
next,ADJ
March,PROPN
31,NUM
.,PUNCT
"
      ",SPACE
Imports,PROPN
of,ADP
U.S.,PROPN
Corn,PROPN
have,AUX
fallen,VERB
due,ADP
to,ADP
increased,VERB
sales,NOUN
"
  ",SPACE
from,ADP
China,PROPN
and,CCONJ
South,PROPN
America,PROPN
",",PUNCT
while,SCONJ
Japanese,ADJ
soybean,NOUN
imports,NOUN
"
  ",SPACE
from,ADP
Brazil,PROPN
are,AUX
expected,VERB
to,PART
rise,VERB
sharply,ADV
this,DET
year,NOUN
",",PUNCT
although,SCONJ
"
  ",SPACE
the,DET
U.S.,PROPN
Will,AUX
remain,VERB
the,DET
largest,ADJ
supplier,NOUN
.,PUNCT
"
      ",SPACE
U.S.,PROPN
Feedgrain,PROPN
sales,NOUN
will,AUX
also,ADV
drop,VERB
if,SCONJ
Japan,PROPN
opens,VERB
up,ADP
its,PRON
"
  ",SPACE
beef,NOUN
imports,NOUN
",",PUNCT
since,SCONJ
Japan,PROPN
depends,VERB
almost,ADV
entirely,ADV
on,ADP
feedgrain,NOUN
"
  ",SPACE
imports,NOUN
",",PUNCT
mainly,ADV
from,ADP
the,DET
U.S.,PROPN
",",PUNCT
Japanese,ADJ
officials,NOUN
said,VERB
.,PUNCT
"
      ",SPACE
An,DET
indication,NOUN
of,ADP
the,DET
U.S.,PROPN
Position,PROPN
came,VERB
last,ADJ
December,PROPN
when,SCONJ
"
  ",SPACE
Under,ADP
Secretary,PROPN
of,ADP
Agriculture,PROPN
Daniel,PROPN
Amstutz,PROPN
said,VERB
Japan,PROPN
has,AUX
"
  ",SPACE
the,DET
potential,NOUN
to,PART
provide,VERB
one,NUM
of,ADP
the,DET
largest,ADJ
boosts,NOUN
to,ADP
U.S.,PROPN
"
  ",SPACE
Agricultural,ADJ
exports,NOUN
",",PUNCT
with,ADP
the,DET
beef,NOUN
market,NOUN
alone,ADV
representing,VERB
"
  ",SPACE
some,DET
one,NUM
billion,NUM
dlrs,NOUN
in,ADP
new,ADJ
business,NOUN
.,PUNCT
"
      ",SPACE
The,DET
U.S.,PROPN
Has,AUX
also,ADV
asked,VERB
the,DET
General,PROPN
Agreement,PROPN
on,ADP
Tariffs,PROPN
"
  ",SPACE
and,CCONJ
Trade,NOUN
to,PART
investigate,VERB
the,DET
legality,NOUN
of,ADP
Japanese,ADJ
import,NOUN
"
  ",SPACE
controls,NOUN
on,ADP
12,NUM
other,ADJ
farm,NOUN
products,NOUN
",",PUNCT
including,VERB
fruit,NOUN
juices,NOUN
",",PUNCT
"
  ",SPACE
purees,NOUN
and,CCONJ
pulp,NOUN
",",PUNCT
tomato,NOUN
juice,NOUN
",",PUNCT
ketchup,NOUN
and,CCONJ
sauce,NOUN
",",PUNCT
peanuts,NOUN
",",PUNCT
"
  ",SPACE
prepared,VERB
beef,NOUN
products,NOUN
and,CCONJ
miscellaneous,ADJ
beans,NOUN
.,PUNCT
"
      ",SPACE
To,PART
help,VERB
calm,VERB
heated,ADJ
trade,NOUN
relations,NOUN
with,ADP
the,DET
U.S.,PROPN
",",PUNCT
Japan,PROPN
's,PART
"
  ",SPACE
top,ADJ
business,NOUN
group,NOUN
Keidanren,PROPN
has,AUX
urged,VERB
the,DET
government,NOUN
to,PART
remove,VERB
"
  ",SPACE
residual,ADJ
import,NOUN
restrictions,NOUN
on,ADP
agricultural,ADJ
products,NOUN
.,PUNCT
"
      ",SPACE
But,CCONJ
Agriculture,PROPN
Minister,PROPN
Kato,PROPN
has,AUX
ruled,VERB
out,ADP
any,DET
emotional,ADJ
"
  ",SPACE
reaction,NOUN
",",PUNCT
and,CCONJ
the,DET
senior,ADJ
ministry,NOUN
official,NOUN
said,VERB
the,DET
farm,NOUN
issue,NOUN
"
  ",SPACE
should,AUX
not,PART
become,VERB
a,DET
scapegoat,NOUN
for,ADP
trade,NOUN
pressure,NOUN
in,ADP
the,DET
"
  ",SPACE
industrial,ADJ
sector,NOUN
.,PUNCT
"
      ",SPACE
"""",PUNCT
Japan,PROPN
is,AUX
the,DET
largest,ADJ
buyer,NOUN
of,ADP
U.S.,PROPN
Farm,PROPN
products,NOUN
",",PUNCT
and,CCONJ
these,DET
"
  ",SPACE
issues,NOUN
should,AUX
not,PART
be,AUX
discussed,VERB
on,ADP
the,DET
same,ADJ
table,NOUN
",",PUNCT
"""",PUNCT
the,DET
official,ADJ
"
  ",SPACE
said,VERB
.,PUNCT
"
  

",SPACE
AMATIL,NOUN
PROPOSES,VERB
TWO,NUM
-,PUNCT
FOR,ADP
-,PUNCT
FIVE,NUM
BONUS,PROPN
SHARE,NOUN
ISSUE,NOUN
"
  ",SPACE
Amatil,PROPN
Ltd,PROPN
&,CCONJ
lt;AMAA.S,PROPN
>,X
said,VERB
it,PRON
proposes,VERB
to,PART
"
  ",SPACE
make,VERB
a,DET
two,NUM
-,PUNCT
for,ADP
-,PUNCT
five,NUM
bonus,NOUN
issue,NOUN
out,ADP
of,ADP
its,PRON
revaluation,NOUN
reserve,NOUN
"
  ",SPACE
to,ADP
shareholders,NOUN
registered,VERB
May,PROPN
26,NUM
.,PUNCT
"
      ",SPACE
Shareholders,NOUN
will,AUX
be,AUX
asked,VERB
to,PART
approve,VERB
the,DET
issue,NOUN
and,CCONJ
an,DET
"
  ",SPACE
increase,NOUN
in,ADP
authorised,VERB
capital,NOUN
to,ADP
175,NUM
mln,NUM
shares,NOUN
from,ADP
125,NUM
mln,NOUN
"
  ",SPACE
at,ADP
a,DET
general,ADJ
meeting,NOUN
on,ADP
May,PROPN
1,NUM
",",PUNCT
it,PRON
said,VERB
in,ADP
a,DET
statement,NOUN
.,PUNCT
"
      ",SPACE
The,DET
new,ADJ
shares,NOUN
will,AUX
rank,VERB
for,ADP
dividends,NOUN
declared,VERB
after,ADP
"
  ",SPACE
October,PROPN
31,NUM
.,PUNCT
Amatil,PROPN
",",PUNCT
in,ADP
which,PRON
B.A.T.,PROPN
Industries,PROPN
Plc,PROPN
&,CCONJ
lt;BTI.L,PROPN
>,PUNCT
"
  ",SPACE
holds,VERB
a,DET
41,NUM
pct,NOUN
stake,NOUN
",",PUNCT
said,VERB
it,PRON
does,AUX
not,PART
expect,VERB
to,PART
maintain,VERB
its,PRON
"
  ",SPACE
latest,ADJ
annual,ADJ
dividend,NOUN
rate,NOUN
of,ADP
29,NUM
cents,NOUN
a,DET
share,NOUN
on,ADP
the,DET
enlarged,ADJ
"
  ",SPACE
capital,NOUN
.,PUNCT
"
  

",SPACE
CRA,PROPN
SOLD,VERB
FORREST,PROPN
GOLD,NOUN
FOR,ADP
76,NUM
MLN,NUM
DLRS,NOUN
-,PUNCT
WHIM,NOUN
CREEK,PROPN
"
  ",SPACE
&,CCONJ
lt;Whim,PROPN
Creek,PROPN
Consolidated,PROPN
NL,PROPN
>,PUNCT
said,VERB
the,DET
"
  ",SPACE
consortium,NOUN
it,PRON
is,AUX
leading,VERB
will,AUX
pay,VERB
76.55,NUM
mln,NUM
dlrs,NOUN
for,ADP
the,DET
"
  ",SPACE
acquisition,NOUN
of,ADP
CRA,PROPN
Ltd,PROPN
's,PART
&,CCONJ
lt;CRAA.S,X
>,X
&,CCONJ
lt;Forrest,ADJ
Gold,PROPN
Pty,PROPN
Ltd,PROPN
>,X
unit,NOUN
",",PUNCT
"
  ",SPACE
reported,VERB
yesterday,NOUN
.,PUNCT
"
      ",SPACE
CRA,PROPN
and,CCONJ
Whim,PROPN
Creek,PROPN
did,AUX
not,PART
disclose,VERB
the,DET
price,NOUN
yesterday,NOUN
.,PUNCT
"
      ",SPACE
Whim,PROPN
Creek,PROPN
will,AUX
hold,VERB
44,NUM
pct,NOUN
of,ADP
the,DET
consortium,NOUN
",",PUNCT
while,SCONJ
"
  ",SPACE
&,CCONJ
lt;Austwhim,PROPN
Resources,PROPN
NL,PROPN
>,X
will,AUX
hold,VERB
27,NUM
pct,NOUN
and,CCONJ
&,CCONJ
lt;Croesus,PROPN
Mining,PROPN
"
  ",SPACE
NL,PROPN
>,X
29,NUM
pct,NOUN
",",PUNCT
it,PRON
said,VERB
in,ADP
a,DET
statement,NOUN
.,PUNCT
"
      ",SPACE
As,SCONJ
reported,VERB
",",PUNCT
Forrest,PROPN
Gold,PROPN
owns,VERB
two,NUM
mines,NOUN
in,ADP
Western,PROPN
"
  ",SPACE
Australia,PROPN
producing,VERB
a,DET
combined,VERB
"37,000",NUM
ounces,NOUN
of,ADP
gold,NOUN
a,DET
year,NOUN
.,PUNCT
It,PRON
"
  ",SPACE
also,ADV
owns,VERB
an,DET
undeveloped,ADJ
gold,NOUN
project,NOUN
.,PUNCT
"
  

",SPACE
BELL,PROPN
GROUP,PROPN
CONFIRMS,VERB
STANDARD,PROPN
CHARTERED,PROPN
STAKE,PROPN
"
  ",SPACE
The,DET
Bell,PROPN
Group,PROPN
Ltd,PROPN
&,CCONJ
lt;BLLA.S,PROPN
>,X
said,VERB
it,PRON
now,ADV
"
  ",SPACE
holds,VERB
14.9,NUM
pct,NOUN
of,ADP
the,DET
issued,VERB
capital,NOUN
of,ADP
Standard,PROPN
Chartered,PROPN
Plc,PROPN
"
  ",SPACE
&,CCONJ
lt;STCH.L,PROPN
>,PUNCT
after,ADP
acquiring,VERB
further,ADJ
shares,NOUN
.,PUNCT
"
      ",SPACE
The,DET
one,NUM
-,PUNCT
sentence,NOUN
statement,NOUN
from,ADP
Bell,PROPN
's,PART
headquarters,NOUN
"
  ",SPACE
confirmed,VERB
what,PRON
its,PRON
brokers,NOUN
Warburg,PROPN
Securities,PROPN
told,VERB
Reuters,PROPN
in,ADP
"
  ",SPACE
London,PROPN
yesterday,NOUN
.,PUNCT
"
      ",SPACE
Bell,PROPN
previously,ADV
held,VERB
10,NUM
pct,NOUN
of,ADP
Standard,PROPN
.,PUNCT
"
      ",SPACE
Bell,PROPN
chairman,NOUN
Robert,PROPN
Holmes,PROPN
a,DET
Court,PROPN
",",PUNCT
who,PRON
is,AUX
also,ADV
a,DET
director,NOUN
"
  ",SPACE
of,ADP
Standard,PROPN
",",PUNCT
was,AUX
not,PART
available,ADJ
for,ADP
comment,NOUN
on,ADP
his,PRON
company,NOUN
's,PART
"
  ",SPACE
intentions,NOUN
in,ADP
boosting,VERB
its,PRON
holding,NOUN
and,CCONJ
other,ADJ
company,NOUN
officials,NOUN
"
  ",SPACE
contacted,VERB
here,ADV
by,ADP
Reuters,PROPN
declined,VERB
to,PART
comment,VERB
.,PUNCT
"
  

",SPACE
GERMAN,PROPN
INDUSTRIAL,ADJ
EMPLOYMENT,NOUN
SEEN,VERB
STAGNATING,VERB
"
  ",SPACE
The,DET
number,NOUN
of,ADP
workers,NOUN
employed,VERB
in,ADP
"
  ",SPACE
the,DET
West,ADJ
German,ADJ
industrial,ADJ
sector,NOUN
stagnated,VERB
in,ADP
the,DET
last,ADJ
quarter,NOUN
"
  ",SPACE
of,ADP
1986,NUM
as,ADP
a,DET
"50,000",NUM
increase,NOUN
in,ADP
overall,ADJ
employment,NOUN
benefited,VERB
"
  ",SPACE
only,ADV
the,DET
services,NOUN
branch,NOUN
",",PUNCT
the,DET
DIW,PROPN
economic,PROPN
institute,PROPN
said,VERB
.,PUNCT
"
      ",SPACE
A,DET
DIW,PROPN
report,NOUN
added,VERB
the,DET
general,ADJ
downturn,NOUN
in,ADP
the,DET
economy,NOUN
"
  ",SPACE
since,SCONJ
last,ADJ
Autumn,PROPN
had,AUX
had,VERB
a,DET
negative,ADJ
effect,NOUN
on,ADP
the,DET
willingness,NOUN
"
  ",SPACE
of,ADP
firms,NOUN
to,PART
take,VERB
on,ADP
workers,NOUN
.,PUNCT
It,PRON
referred,VERB
to,ADP
a,DET
marked,ADJ
downturn,NOUN
"
  ",SPACE
in,ADP
the,DET
number,NOUN
of,ADP
workers,NOUN
taken,VERB
on,ADP
in,ADP
the,DET
capital,NOUN
goods,NOUN
sector,NOUN
.,PUNCT
"
      ",SPACE
New,ADJ
orders,NOUN
for,ADP
manufacturing,VERB
industry,NOUN
goods,NOUN
have,AUX
mostly,ADV
"
  ",SPACE
fallen,VERB
or,CCONJ
stagnated,VERB
in,ADP
recent,ADJ
months,NOUN
",",PUNCT
but,CCONJ
data,NOUN
for,ADP
February,PROPN
"
  ",SPACE
finally,ADV
showed,VERB
a,DET
reversal,NOUN
of,ADP
the,DET
trend,NOUN
",",PUNCT
with,ADP
a,DET
1.9,NUM
pct,NOUN
rise,NOUN
.,PUNCT
"
  

",SPACE
CITIBANK,PROPN
NORWAY,PROPN
UNIT,PROPN
LOSES,VERB
SIX,NUM
MLN,NUM
CROWNS,NOUN
IN,ADP
1986,NUM
"
  ",SPACE
Citibank,PROPN
A,PROPN
/,SYM
S,PROPN
&,CCONJ
lt;CCI.N,PROPN
>,PUNCT
",",PUNCT
the,DET
Norwegian,ADJ
"
  ",SPACE
subsidiary,NOUN
of,ADP
the,DET
U.S.-based,ADJ
bank,NOUN
",",PUNCT
said,VERB
it,PRON
made,VERB
a,DET
net,ADJ
loss,NOUN
of,ADP
"
  ",SPACE
just,ADV
over,ADP
six,NUM
mln,NOUN
crowns,NOUN
in,ADP
1986,NUM
--,PUNCT
although,SCONJ
foreign,ADJ
bankers,NOUN
"
  ",SPACE
said,VERB
they,PRON
expect,VERB
it,PRON
to,PART
show,VERB
1987,NUM
profits,NOUN
after,ADP
two,NUM
lean,ADJ
years,NOUN
.,PUNCT
"
      ",SPACE
Citibank,PROPN
's,PART
Oslo,PROPN
treasury,NOUN
head,NOUN
Bjoern,PROPN
Sejerstad,PROPN
told,VERB
"
  ",SPACE
Reuters,PROPN
",",PUNCT
Citibank,PROPN
",",PUNCT
one,NUM
of,ADP
seven,NUM
foreign,ADJ
bank,NOUN
subsidiaries,NOUN
"
  ",SPACE
operating,VERB
in,ADP
Norway,PROPN
",",PUNCT
lost,VERB
money,NOUN
because,SCONJ
of,ADP
restructuring,VERB
for,ADP
"
  ",SPACE
investment,NOUN
banking,NOUN
away,ADV
from,ADP
commercial,ADJ
banking,NOUN
and,CCONJ
an,DET
economic,ADJ
"
  ",SPACE
slump,NOUN
in,ADP
Norway,PROPN
following,VERB
last,ADJ
year,NOUN
's,PART
plunge,NOUN
in,ADP
oil,NOUN
prices,NOUN
.,PUNCT
"
      ",SPACE
Foreign,ADJ
banks,NOUN
have,AUX
been,AUX
allowed,VERB
to,PART
operate,VERB
susbidiaries,NOUN
in,ADP
"
  ",SPACE
Norway,PROPN
since,SCONJ
1985,NUM
.,PUNCT
"
      ",SPACE
Foreign,ADJ
banking,NOUN
analysts,NOUN
in,ADP
Oslo,PROPN
said,VERB
access,NOUN
to,ADP
Norway,PROPN
's,PART
"
  ",SPACE
second,ADJ
-,PUNCT
hand,NOUN
securities,NOUN
and,CCONJ
equities,NOUN
markets,NOUN
",",PUNCT
to,PART
be,AUX
approved,VERB
"
  ",SPACE
later,ADV
this,DET
spring,NOUN
",",PUNCT
and,CCONJ
lower,ADJ
primary,ADJ
reserve,NOUN
requirements,NOUN
would,AUX
"
  ",SPACE
make,VERB
profit,NOUN
this,DET
year,NOUN
.,PUNCT
"
      ",SPACE
Citibank,PROPN
lost,VERB
"490,000",NUM
crowns,NOUN
in,ADP
Norway,PROPN
in,ADP
1985,NUM
",",PUNCT
but,CCONJ
"
  ",SPACE
Sejerstad,PROPN
said,VERB
a,DET
profit,NOUN
was,AUX
likely,ADJ
this,DET
year,NOUN
because,SCONJ
of,ADP
planned,VERB
"
  ",SPACE
liberalisation,NOUN
and,CCONJ
better,ADJ
economic,ADJ
performance,NOUN
",",PUNCT
helped,VERB
by,ADP
a,DET
"
  ",SPACE
steadier,ADJ
oil,NOUN
price,NOUN
of,ADP
around,ADV
18,NUM
dlrs,NOUN
a,DET
barrel,NOUN
.,PUNCT
"
      ",SPACE
Earlier,ADV
this,DET
year,NOUN
",",PUNCT
Chase,PROPN
Manhattan,PROPN
Bank,PROPN
's,PART
&,CCONJ
lt;CMB.N,PROPN
>,PUNCT
"
  ",SPACE
subsidiary,NOUN
decided,VERB
to,PART
stop,VERB
foreign,ADJ
exchange,NOUN
trading,NOUN
after,ADP
heavy,ADJ
"
  ",SPACE
losses,NOUN
and,CCONJ
focus,VERB
instead,ADV
on,ADP
fee,NOUN
-,PUNCT
based,VERB
merchant,NOUN
banking,NOUN
.,PUNCT
"
  

",SPACE
BOWATER,PROPN
INDUSTRIES,PROPN
PROFIT,NOUN
EXCEED,PROPN
EXPECTATIONS,NOUN
"
  ",SPACE
Bowater,PROPN
Industries,PROPN
Plc,PROPN
&,CCONJ
lt;BWTR.L,PROPN
>,PUNCT
1986,NUM
"
  ",SPACE
pretax,ADJ
profits,NOUN
of,ADP
48.0,NUM
mln,NUM
stg,NOUN
exceeded,VERB
market,NOUN
expectations,NOUN
of,ADP
"
  ",SPACE
around,ADP
40,NUM
mln,NOUN
and,CCONJ
pushed,VERB
the,DET
company,NOUN
's,PART
shares,NOUN
up,ADP
sharply,ADV
to,ADP
a,DET
"
  ",SPACE
high,NOUN
of,ADP
491p,NUM
from,ADP
468p,NOUN
last,ADJ
night,NOUN
",",PUNCT
dealers,NOUN
said,VERB
.,PUNCT
"
      ",SPACE
The,DET
shares,NOUN
later,ADV
eased,VERB
back,ADV
to,ADP
481p,NUM
.,PUNCT
Bowater,PROPN
reported,VERB
a,DET
"
  ",SPACE
32.4,NUM
mln,NUM
stg,ADJ
profit,NOUN
in,ADP
1985,NUM
.,PUNCT
"
      ",SPACE
The,DET
company,NOUN
said,VERB
in,ADP
a,DET
statement,NOUN
accompanying,VERB
the,DET
results,NOUN
"
  ",SPACE
that,SCONJ
the,DET
underlying,VERB
trend,NOUN
showed,VERB
improvement,NOUN
and,CCONJ
it,PRON
intended,VERB
to,PART
"
  ",SPACE
expand,VERB
further,ADV
by,ADP
developing,VERB
existing,VERB
businesses,NOUN
and,CCONJ
seeking,VERB
"
  ",SPACE
new,ADJ
opportunities,NOUN
.,PUNCT
"
      ",SPACE
It,PRON
added,VERB
that,SCONJ
it,PRON
had,AUX
appointed,VERB
David,PROPN
Lyon,PROPN
",",PUNCT
currently,ADV
"
  ",SPACE
managing,VERB
director,NOUN
of,ADP
Redland,PROPN
Plc,PROPN
&,CCONJ
lt;RDLD.L,PROPN
>,X
as,ADP
its,PRON
new,ADJ
chief,NOUN
"
  ",SPACE
executive,NOUN
.,PUNCT
"
      ",SPACE
Analysts,NOUN
noted,VERB
that,SCONJ
Bowater,PROPN
's,PART
profits,NOUN
of,ADP
18.9,NUM
mln,NUM
stg,NOUN
from,ADP
"
  ",SPACE
13.2,NUM
mln,NOUN
previously,ADV
had,AUX
been,AUX
given,VERB
a,DET
boost,NOUN
by,ADP
pension,NOUN
benefits,NOUN
"
  ",SPACE
of,ADP
4.5,NUM
mln,NUM
stg,PROPN
.,PUNCT
"
      ",SPACE
Profit,PROPN
from,ADP
Australia,PROPN
and,CCONJ
the,DET
Far,PROPN
East,PROPN
showed,VERB
the,DET
greatest,ADJ
"
  ",SPACE
percentage,NOUN
rise,NOUN
",",PUNCT
jumping,VERB
55.0,NUM
pct,NOUN
to,ADP
15.5,NUM
mln,NOUN
from,ADP
10.0,NUM
mln,NOUN
",",PUNCT
"
  ",SPACE
while,SCONJ
the,DET
profit,NOUN
from,ADP
U.K.,PROPN
Operations,PROPN
rose,VERB
30.7,NUM
pct,NOUN
